Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
c0e3342a,https://fbref.com/en/matches/c0e3342a/Arsenal-Wolverhampton-Wanderers-August-17-2024-Premier-League,2024-08-17,Premier League,Matchweek 1,Home,Wolves,W,2024-08-17_premier_league_wolves,Arsenal,Gabriel Martinelli,11,br BRA,FW,23-060,90,0,0,0,0,1,0,0,0,1,3,0,2,1,0,0,,
c0e3342a,https://fbref.com/en/matches/c0e3342a/Arsenal-Wolverhampton-Wanderers-August-17-2024-Premier-League,2024-08-17,Premier League,Matchweek 1,Home,Wolves,W,2024-08-17_premier_league_wolves,Arsenal,Kai Havertz,29,de GER,FW,25-067,90,1,1,0,0,5,1,0,0,2,3,0,0,1,1,0,,
c0e3342a,https://fbref.com/en/matches/c0e3342a/Arsenal-Wolverhampton-Wanderers-August-17-2024-Premier-League,2024-08-17,Premier League,Matchweek 1,Home,Wolves,W,2024-08-17_premier_league_wolves,Arsenal,Bukayo Saka,7,eng ENG,FW,22-347,79,1,1,0,0,5,3,1,0,2,2,0,5,2,0,0,,
c0e3342a,https://fbref.com/en/matches/c0e3342a/Arsenal-Wolverhampton-Wanderers-August-17-2024-Premier-League,2024-08-17,Premier League,Matchweek 1,Home,Wolves,W,2024-08-17_premier_league_wolves,Arsenal,Leandro Trossard,19,be BEL,"FW,MF",29-257,11,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,
c0e3342a,https://fbref.com/en/matches/c0e3342a/Arsenal-Wolverhampton-Wanderers-August-17-2024-Premier-League,2024-08-17,Premier League,Matchweek 1,Home,Wolves,W,2024-08-17_premier_league_wolves,Arsenal,Declan Rice,41,eng ENG,CM,25-216,84,0,0,0,0,1,0,0,0,0,2,0,5,0,2,0,,
c0e3342a,https://fbref.com/en/matches/c0e3342a/Arsenal-Wolverhampton-Wanderers-August-17-2024-Premier-League,2024-08-17,Premier League,Matchweek 1,Home,Wolves,W,2024-08-17_premier_league_wolves,Arsenal,Gabriel Jesus,9,br BRA,"FW,MF",27-136,6,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,,
c0e3342a,https://fbref.com/en/matches/c0e3342a/Arsenal-Wolverhampton-Wanderers-August-17-2024-Premier-League,2024-08-17,Premier League,Matchweek 1,Home,Wolves,W,2024-08-17_premier_league_wolves,Arsenal,Thomas Partey,5,gh GHA,CM,31-065,90,0,0,0,0,1,0,0,0,3,3,0,0,2,0,0,,
c0e3342a,https://fbref.com/en/matches/c0e3342a/Arsenal-Wolverhampton-Wanderers-August-17-2024-Premier-League,2024-08-17,Premier League,Matchweek 1,Home,Wolves,W,2024-08-17_premier_league_wolves,Arsenal,Martin Ødegaard,8,no NOR,CM,25-244,90,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,,
c0e3342a,https://fbref.com/en/matches/c0e3342a/Arsenal-Wolverhampton-Wanderers-August-17-2024-Premier-League,2024-08-17,Premier League,Matchweek 1,Home,Wolves,W,2024-08-17_premier_league_wolves,Arsenal,Oleksandr Zinchenko,17,ua UKR,LB,27-246,68,0,0,0,0,0,0,0,0,3,0,0,1,0,2,0,,
c0e3342a,https://fbref.com/en/matches/c0e3342a/Arsenal-Wolverhampton-Wanderers-August-17-2024-Premier-League,2024-08-17,Premier League,Matchweek 1,Home,Wolves,W,2024-08-17_premier_league_wolves,Arsenal,Jurriën Timber,12,nl NED,DF,23-061,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
c0e3342a,https://fbref.com/en/matches/c0e3342a/Arsenal-Wolverhampton-Wanderers-August-17-2024-Premier-League,2024-08-17,Premier League,Matchweek 1,Home,Wolves,W,2024-08-17_premier_league_wolves,Arsenal,Gabriel Magalhães,6,br BRA,CB,26-242,90,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,,
c0e3342a,https://fbref.com/en/matches/c0e3342a/Arsenal-Wolverhampton-Wanderers-August-17-2024-Premier-League,2024-08-17,Premier League,Matchweek 1,Home,Wolves,W,2024-08-17_premier_league_wolves,Arsenal,William Saliba,2,fr FRA,CB,23-146,90,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,,
c0e3342a,https://fbref.com/en/matches/c0e3342a/Arsenal-Wolverhampton-Wanderers-August-17-2024-Premier-League,2024-08-17,Premier League,Matchweek 1,Home,Wolves,W,2024-08-17_premier_league_wolves,Arsenal,Ben White,4,eng ENG,RB,26-314,90,0,0,0,0,2,1,0,0,2,0,0,0,1,1,0,,
c0e3342a,https://fbref.com/en/matches/c0e3342a/Arsenal-Wolverhampton-Wanderers-August-17-2024-Premier-League,2024-08-17,Premier League,Matchweek 1,Home,Wolves,W,2024-08-17_premier_league_wolves,Arsenal,David Raya,22,es ESP,GK,28-337,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
