Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
f1ecda2c,https://fbref.com/en/matches/f1ecda2c/Manchester-United-Wolverhampton-Wanderers-August-14-2023-Premier-League,2023-08-14,Premier League,Matchweek 1,Home,Wolves,W,2023-08-14_premier_league_wolves,Manchester Utd,Marcus Rashford,10,eng ENG,FW,25-287,87,0,0,0,0,4,1,0,0,1,0,1,0,0,0,0,,
f1ecda2c,https://fbref.com/en/matches/f1ecda2c/Manchester-United-Wolverhampton-Wanderers-August-14-2023-Premier-League,2023-08-14,Premier League,Matchweek 1,Home,Wolves,W,2023-08-14_premier_league_wolves,Manchester Utd,Scott McTominay,39,sct SCO,MF,26-249,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
f1ecda2c,https://fbref.com/en/matches/f1ecda2c/Manchester-United-Wolverhampton-Wanderers-August-14-2023-Premier-League,2023-08-14,Premier League,Matchweek 1,Home,Wolves,W,2023-08-14_premier_league_wolves,Manchester Utd,Alejandro Garnacho,49,ar ARG,LW,19-044,67,0,0,0,0,4,0,0,0,2,3,0,1,1,0,0,,
f1ecda2c,https://fbref.com/en/matches/f1ecda2c/Manchester-United-Wolverhampton-Wanderers-August-14-2023-Premier-League,2023-08-14,Premier League,Matchweek 1,Home,Wolves,W,2023-08-14_premier_league_wolves,Manchester Utd,Jadon Sancho,25,eng ENG,"FW,MF",23-142,23,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,,
f1ecda2c,https://fbref.com/en/matches/f1ecda2c/Manchester-United-Wolverhampton-Wanderers-August-14-2023-Premier-League,2023-08-14,Premier League,Matchweek 1,Home,Wolves,W,2023-08-14_premier_league_wolves,Manchester Utd,Mason Mount,7,eng ENG,AM,24-216,67,0,0,0,0,0,0,0,0,1,2,0,2,0,1,0,,
f1ecda2c,https://fbref.com/en/matches/f1ecda2c/Manchester-United-Wolverhampton-Wanderers-August-14-2023-Premier-League,2023-08-14,Premier League,Matchweek 1,Home,Wolves,W,2023-08-14_premier_league_wolves,Manchester Utd,Christian Eriksen,14,dk DEN,MF,31-181,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
f1ecda2c,https://fbref.com/en/matches/f1ecda2c/Manchester-United-Wolverhampton-Wanderers-August-14-2023-Premier-League,2023-08-14,Premier League,Matchweek 1,Home,Wolves,W,2023-08-14_premier_league_wolves,Manchester Utd,Bruno Fernandes,8,pt POR,AM,28-340,90,0,0,0,0,1,0,0,0,0,0,0,7,2,1,0,,
f1ecda2c,https://fbref.com/en/matches/f1ecda2c/Manchester-United-Wolverhampton-Wanderers-August-14-2023-Premier-League,2023-08-14,Premier League,Matchweek 1,Home,Wolves,W,2023-08-14_premier_league_wolves,Manchester Utd,Antony,21,br BRA,RW,23-171,76,0,0,0,0,3,1,0,0,1,2,0,3,0,0,0,,
f1ecda2c,https://fbref.com/en/matches/f1ecda2c/Manchester-United-Wolverhampton-Wanderers-August-14-2023-Premier-League,2023-08-14,Premier League,Matchweek 1,Home,Wolves,W,2023-08-14_premier_league_wolves,Manchester Utd,Facundo Pellistri,28,uy URU,"FW,MF",21-237,14,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,
f1ecda2c,https://fbref.com/en/matches/f1ecda2c/Manchester-United-Wolverhampton-Wanderers-August-14-2023-Premier-League,2023-08-14,Premier League,Matchweek 1,Home,Wolves,W,2023-08-14_premier_league_wolves,Manchester Utd,Casemiro,18,br BRA,DM,31-172,90,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,,
f1ecda2c,https://fbref.com/en/matches/f1ecda2c/Manchester-United-Wolverhampton-Wanderers-August-14-2023-Premier-League,2023-08-14,Premier League,Matchweek 1,Home,Wolves,W,2023-08-14_premier_league_wolves,Manchester Utd,Luke Shaw,23,eng ENG,LB,28-033,90,0,0,0,0,0,0,1,0,2,0,0,1,2,2,0,,
f1ecda2c,https://fbref.com/en/matches/f1ecda2c/Manchester-United-Wolverhampton-Wanderers-August-14-2023-Premier-League,2023-08-14,Premier League,Matchweek 1,Home,Wolves,W,2023-08-14_premier_league_wolves,Manchester Utd,Lisandro Martínez,6,ar ARG,CB,25-208,45,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,,
f1ecda2c,https://fbref.com/en/matches/f1ecda2c/Manchester-United-Wolverhampton-Wanderers-August-14-2023-Premier-League,2023-08-14,Premier League,Matchweek 1,Home,Wolves,W,2023-08-14_premier_league_wolves,Manchester Utd,Victor Lindelöf,2,se SWE,DF,29-028,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
f1ecda2c,https://fbref.com/en/matches/f1ecda2c/Manchester-United-Wolverhampton-Wanderers-August-14-2023-Premier-League,2023-08-14,Premier League,Matchweek 1,Home,Wolves,W,2023-08-14_premier_league_wolves,Manchester Utd,Raphaël Varane,19,fr FRA,CB,30-111,90,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,,
f1ecda2c,https://fbref.com/en/matches/f1ecda2c/Manchester-United-Wolverhampton-Wanderers-August-14-2023-Premier-League,2023-08-14,Premier League,Matchweek 1,Home,Wolves,W,2023-08-14_premier_league_wolves,Manchester Utd,Aaron Wan-Bissaka,29,cd COD,RB,25-261,90,0,1,0,0,0,0,0,0,3,0,0,0,1,2,0,,
f1ecda2c,https://fbref.com/en/matches/f1ecda2c/Manchester-United-Wolverhampton-Wanderers-August-14-2023-Premier-League,2023-08-14,Premier League,Matchweek 1,Home,Wolves,W,2023-08-14_premier_league_wolves,Manchester Utd,André Onana,24,cm CMR,GK,27-134,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
